event_date,channel_medium,channel_source,users,sessions,purchases,revenue,bounced_users,conversion_rate_pct,bounce_rate_pct,revenue_per_session,anomaly_type,is_synthetic_anomaly,z_sessions,z_users,z_purchases,z_revenue,z_conversion_rate_pct,z_bounce_rate_pct,z_revenue_per_session,max_z_score,triggered_metric,is_anomaly
2020-11-01,(data deleted),(data deleted),120,123,12,2196.0,0,9.76,0.0,17.85,none,False,0.0,0.0,0.6071767407189163,2.0561427830453916,0.6084415085674435,0.0,2.0558651346242023,2.0561427830453916,revenue,True
2020-11-01,(data deleted),(data deleted),120,123,21,1150.0,0,17.07,0.0,9.35,none,False,0.0,0.0,2.1471096914790624,1.8179522906206438,2.146929706076545,0.0,1.8189733356461588,2.1471096914790624,purchases,True
2020-11-01,(data deleted),(data deleted),120,123,15,1001.0,0,12.2,0.0,8.14,none,False,0.0,0.0,2.0436277033346872,1.9514044531158308,2.0444854263155596,0.0,1.9517925037423036,2.0444854263155596,conversion_rate_pct,True
2020-11-02,(data deleted),(data deleted),246,261,10,658.0,0,3.83,0.0,2.52,none,False,2.2677868380553634,2.2677868380553634,-0.3655858696345052,-0.06192032318836622,-0.8043083590285269,0.0,-0.5524185801672377,2.2677868380553634,sessions,True
2020-11-02,(data deleted),(data deleted),246,261,12,2196.0,0,4.6,0.0,8.41,none,False,0.0,0.0,0.607176740718916,2.0561427830453916,0.6066992257387186,0.0,2.0561042077922695,2.0561427830453916,revenue,True
2020-11-02,(data deleted),(data deleted),246,261,21,1150.0,0,8.05,0.0,4.41,none,False,0.0,0.0,2.1471096914790615,1.8179522906206433,2.147094480831139,0.0,1.8188213593482006,2.1471096914790615,purchases,True
2020-11-02,(data deleted),(data deleted),246,261,15,1001.0,0,5.75,0.0,3.84,none,False,0.0,0.0,2.0436277033346855,1.9514044531158332,2.0436240735010758,0.0,1.9525537052955133,2.0436277033346855,purchases,True
2020-11-03,(data deleted),(data deleted),312,329,10,658.0,0,3.04,0.0,2.0,none,False,2.2677868380553625,2.2677868380553634,-0.3655858696345051,-0.06192032318836625,-0.5450867447996229,0.0,-0.25899296894916884,2.2677868380553634,users,True
2020-11-03,(data deleted),(data deleted),312,329,12,2196.0,0,3.65,0.0,6.67,none,False,0.0,0.0,0.6071767407189156,2.0561427830453924,0.6086049407461029,0.0,2.055063648927186,2.0561427830453924,revenue,True
2020-11-03,(data deleted),(data deleted),312,329,21,1150.0,0,6.38,0.0,3.5,none,False,0.0,0.0,2.14710969147906,1.8179522906206456,2.1463443310257198,0.0,1.8176086669069031,2.14710969147906,purchases,True
